Frame,Class_0,Class_0_total,Class_0_pos,Class_1,Class_1_total,Class_1_pos,Class_2,Class_2_total,Class_2_pos,Class_3,Class_3_total,Class_3_pos,Class_4,Class_4_total,Class_4_pos,Class_5,Class_5_total,Class_5_pos,FrameIndex
0,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,0
2,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,1
4,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,2
6,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,3
8,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,4
10,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,5
12,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,6
14,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,7
16,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,8
18,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,9
20,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,10
22,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,11
24,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,12
26,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,13
28,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,14
30,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,15
32,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,16
34,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,17
36,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,18
38,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,19
40,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,20
42,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,21
44,0.0,144,144,0.0,47,47,0.0,13,13,0.0,3,3,0.0,5,5,0.0,24,24,22
