Frame,Class_0,Class_0_total,Class_0_pos,Class_1,Class_1_total,Class_1_pos,Class_2,Class_2_total,Class_2_pos,Class_3,Class_3_total,Class_3_pos,Class_4,Class_4_total,Class_4_pos,Class_5,Class_5_total,Class_5_pos,Class_6,Class_6_total,Class_6_pos,FrameIndex
0,0.0,78,78,0.0,93,93,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,0
2,0.0,78,78,0.0,93,93,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,1
4,0.0,78,78,0.0,93,93,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,2
6,0.0,78,78,0.0,93,93,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,3
8,0.0,78,78,0.0,93,93,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,4
10,0.0,78,78,0.0,93,93,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,5
12,0.0,78,78,0.0,93,93,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0,21,21,6
14,0.0128,78,77,0.0,93,93,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0476,21,20,7
16,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0952,21,19,8
18,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0952,21,19,9
20,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0952,21,19,10
22,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0952,21,19,11
24,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0952,21,19,12
26,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0952,21,19,13
28,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0952,21,19,14
30,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0952,21,19,15
32,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0952,21,19,16
34,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0952,21,19,17
36,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0952,21,19,18
38,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.0952,21,19,19
40,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,20
42,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,21
44,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,22
46,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,23
48,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,24
50,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,25
52,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,26
54,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,27
56,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,28
58,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,29
60,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,30
62,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,31
64,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,32
66,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,33
68,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,34
70,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,35
72,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,36
74,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,37
76,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,38
78,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,39
80,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.1905,21,17,40
82,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.7143,21,6,41
84,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.7143,21,6,42
86,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.7143,21,6,43
88,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.7143,21,6,44
90,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.7143,21,6,45
92,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.7143,21,6,46
94,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.7143,21,6,47
96,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.7143,21,6,48
98,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.7143,21,6,49
100,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.7143,21,6,50
102,0.0256,78,76,0.0108,93,92,0.0196,51,50,0.0,4,4,0.0,1,1,0.0,6,6,0.7143,21,6,51
