FrameIndex,Frame,Class_0,Class_0_pos,Class_0_total,Class_1,Class_1_pos,Class_1_total,Class_2,Class_2_pos,Class_2_total,Class_3,Class_3_pos,Class_3_total,Class_4,Class_4_pos,Class_4_total,Class_5,Class_5_pos,Class_5_total,Class_6,Class_6_pos,Class_6_total
0,0,0.0,390,390,0.0,290,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
1,2,0.0,390,390,0.0,290,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
2,4,0.0,390,390,0.0,290,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
3,6,0.0,390,390,0.0,290,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
4,8,0.0,390,390,0.0,290,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
5,10,0.0,390,390,0.0,290,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
6,12,0.0,390,390,0.0,290,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
7,14,0.0,390,390,0.0,290,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
8,16,0.0,390,390,0.0,290,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
9,18,0.0,390,390,0.0,290,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
10,20,0.0,390,390,0.0,290,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
11,22,0.0,390,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
12,24,0.0,390,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
13,26,0.0,390,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
14,28,0.0,390,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
15,30,0.0,390,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
16,32,0.0,390,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
17,34,0.0,390,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
18,36,0.0,390,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
19,38,0.0,390,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
20,40,0.0,390,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
21,42,0.0,390,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
22,44,0.0,390,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
23,46,0.0,390,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
24,48,0.0,390,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
25,50,0.0,390,390,0.0034482758620689724,289,290,0.0,131,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
