Frame,Class_0,Class_0_total,Class_0_pos,Class_1,Class_1_total,Class_1_pos,Class_2,Class_2_total,Class_2_pos,Class_3,Class_3_total,Class_3_pos,Class_4,Class_4_total,Class_4_pos,Class_5,Class_5_total,Class_5_pos,FrameIndex
0,0.0,131,131,0.0,65,65,0.0,14,14,0.0,2,2,0.0,6,6,0.0,20,20,0
2,0.0,131,131,0.0,65,65,0.0,14,14,0.0,2,2,0.0,6,6,0.0,20,20,1
4,0.0,131,131,0.0,65,65,0.0,14,14,0.0,2,2,0.0,6,6,0.0,20,20,2
6,0.0,131,131,0.0,65,65,0.0,14,14,0.0,2,2,0.0,6,6,0.0,20,20,3
8,0.0,131,131,0.0,65,65,0.0,14,14,0.0,2,2,0.0,6,6,0.0,20,20,4
10,0.0,131,131,0.0,65,65,0.0,14,14,0.0,2,2,0.0,6,6,0.0,20,20,5
12,0.0,131,131,0.0,65,65,0.0,14,14,0.0,2,2,0.0,6,6,0.0,20,20,6
14,0.0,131,131,0.0,65,65,0.0,14,14,0.0,2,2,0.0,6,6,0.0,20,20,7
16,0.0,131,131,0.0,65,65,0.0,14,14,0.0,2,2,0.0,6,6,0.05,20,19,8
18,0.0,131,131,0.0,65,65,0.0,14,14,0.0,2,2,0.0,6,6,0.05,20,19,9
20,0.0,131,131,0.0,65,65,0.0,14,14,0.0,2,2,0.0,6,6,0.05,20,19,10
22,0.0,131,131,0.0,65,65,0.0,14,14,0.0,2,2,0.0,6,6,0.05,20,19,11
24,0.0,131,131,0.0,65,65,0.0,14,14,0.0,2,2,0.0,6,6,0.05,20,19,12
26,0.0,131,131,0.0,65,65,0.0714,14,13,0.0,2,2,0.0,6,6,0.05,20,19,13
28,0.0,131,131,0.0,65,65,0.0714,14,13,0.0,2,2,0.0,6,6,0.05,20,19,14
30,0.0,131,131,0.0,65,65,0.0714,14,13,0.0,2,2,0.0,6,6,0.05,20,19,15
32,0.0,131,131,0.0,65,65,0.0714,14,13,0.0,2,2,0.0,6,6,0.05,20,19,16
