Frame,TotalCells,SickledCells,SemiSickledCells,FinalSickledCells,SickledFraction,SemiFraction,FinalFraction,FrameIndex
0,238,0,0,0,0.0,0.0,0.0,0
2,238,0,0,0,0.0,0.0,0.0,1
4,238,0,0,0,0.0,0.0,0.0,2
6,238,0,0,0,0.0,0.0,0.0,3
8,238,0,0,0,0.0,0.0,0.0,4
10,238,0,0,0,0.0,0.0,0.0,5
12,238,0,0,0,0.0,0.0,0.0,6
14,238,0,0,0,0.0,0.0,0.0,7
16,238,0,0,0,0.0,0.0,0.0,8
18,238,0,0,0,0.0,0.0,0.0,9
20,238,0,0,0,0.0,0.0,0.0,10
22,238,0,0,0,0.0,0.0,0.0,11
24,238,0,0,0,0.0,0.0,0.0,12
26,238,0,0,0,0.0,0.0,0.0,13
28,238,0,0,0,0.0,0.0,0.0,14
30,238,0,0,0,0.0,0.0,0.0,15
32,238,0,0,0,0.0,0.0,0.0,16
34,238,0,0,0,0.0,0.0,0.0,17
36,238,0,0,0,0.0,0.0,0.0,18
38,238,0,0,0,0.0,0.0,0.0,19
40,238,0,0,0,0.0,0.0,0.0,20
42,238,0,0,0,0.0,0.0,0.0,21
44,238,0,0,0,0.0,0.0,0.0,22
46,238,0,0,0,0.0,0.0,0.0,23
48,238,0,0,0,0.0,0.0,0.0,24
50,238,0,0,0,0.0,0.0,0.0,25
52,238,0,0,0,0.0,0.0,0.0,26
54,238,0,0,0,0.0,0.0,0.0,27
56,238,0,0,0,0.0,0.0,0.0,28
58,238,0,0,0,0.0,0.0,0.0,29
60,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907,30
62,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907,31
64,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907,32
66,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907,33
68,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907,34
70,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907,35
72,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907,36
74,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907,37
76,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907,38
78,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907,39
80,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907,40
82,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907,41
84,238,1,0,1,0.004201680672268907,0.0,0.004201680672268907,42
86,238,2,0,2,0.008403361344537815,0.0,0.008403361344537815,43
88,238,2,0,2,0.008403361344537815,0.0,0.008403361344537815,44
90,238,3,0,3,0.012605042016806723,0.0,0.012605042016806723,45
92,238,3,0,3,0.012605042016806723,0.0,0.012605042016806723,46
94,238,3,0,3,0.012605042016806723,0.0,0.012605042016806723,47
96,238,3,0,3,0.012605042016806723,0.0,0.012605042016806723,48
98,238,5,0,5,0.02100840336134454,0.0,0.02100840336134454,49
100,238,5,0,5,0.02100840336134454,0.0,0.02100840336134454,50
102,238,6,0,6,0.025210084033613446,0.0,0.025210084033613446,51
104,238,9,0,9,0.037815126050420166,0.0,0.037815126050420166,52
106,238,9,0,9,0.037815126050420166,0.0,0.037815126050420166,53
108,238,12,0,12,0.05042016806722689,0.0,0.05042016806722689,54
110,238,12,0,12,0.05042016806722689,0.0,0.05042016806722689,55
112,238,14,0,14,0.058823529411764705,0.0,0.058823529411764705,56
114,238,15,1,14,0.06302521008403361,0.004201680672268907,0.058823529411764705,57
116,238,16,1,15,0.06722689075630252,0.004201680672268907,0.06302521008403361,58
118,238,16,1,15,0.06722689075630252,0.004201680672268907,0.06302521008403361,59
120,238,17,1,16,0.07142857142857142,0.004201680672268907,0.06722689075630252,60
122,238,18,1,17,0.07563025210084033,0.004201680672268907,0.07142857142857142,61
124,238,18,1,17,0.07563025210084033,0.004201680672268907,0.07142857142857142,62
126,238,20,2,18,0.08403361344537816,0.008403361344537815,0.07563025210084033,63
128,238,20,2,18,0.08403361344537816,0.008403361344537815,0.07563025210084033,64
130,238,21,2,19,0.08823529411764706,0.008403361344537815,0.07983193277310924,65
132,238,21,2,19,0.08823529411764706,0.008403361344537815,0.07983193277310924,66
134,238,21,2,19,0.08823529411764706,0.008403361344537815,0.07983193277310924,67
136,238,23,2,21,0.09663865546218488,0.008403361344537815,0.08823529411764706,68
138,238,24,2,22,0.10084033613445378,0.008403361344537815,0.09243697478991597,69
140,238,25,2,23,0.10504201680672269,0.008403361344537815,0.09663865546218488,70
142,238,28,2,26,0.11764705882352941,0.008403361344537815,0.1092436974789916,71
144,238,28,2,26,0.11764705882352941,0.008403361344537815,0.1092436974789916,72
146,238,28,2,26,0.11764705882352941,0.008403361344537815,0.1092436974789916,73
148,238,30,2,28,0.12605042016806722,0.008403361344537815,0.11764705882352941,74
150,238,30,2,28,0.12605042016806722,0.008403361344537815,0.11764705882352941,75
152,238,31,2,29,0.13025210084033614,0.008403361344537815,0.12184873949579832,76
154,238,34,2,32,0.14285714285714285,0.008403361344537815,0.13445378151260504,77
156,238,37,3,34,0.15546218487394958,0.012605042016806723,0.14285714285714285,78
158,238,39,4,35,0.1638655462184874,0.01680672268907563,0.14705882352941177,79
160,238,41,4,37,0.1722689075630252,0.01680672268907563,0.15546218487394958,80
162,238,43,4,39,0.18067226890756302,0.01680672268907563,0.1638655462184874,81
164,238,43,4,39,0.18067226890756302,0.01680672268907563,0.1638655462184874,82
166,238,43,4,39,0.18067226890756302,0.01680672268907563,0.1638655462184874,83
168,238,43,4,39,0.18067226890756302,0.01680672268907563,0.1638655462184874,84
170,238,45,4,41,0.18907563025210083,0.01680672268907563,0.1722689075630252,85
172,238,46,4,42,0.19327731092436976,0.01680672268907563,0.17647058823529413,86
174,238,47,5,42,0.19747899159663865,0.02100840336134454,0.17647058823529413,87
176,238,49,5,44,0.20588235294117646,0.02100840336134454,0.18487394957983194,88
178,238,51,5,46,0.21428571428571427,0.02100840336134454,0.19327731092436976,89
180,238,54,7,47,0.226890756302521,0.029411764705882353,0.19747899159663865,90
182,238,54,7,47,0.226890756302521,0.029411764705882353,0.19747899159663865,91
184,238,56,8,48,0.23529411764705882,0.03361344537815126,0.20168067226890757,92
186,238,56,8,48,0.23529411764705882,0.03361344537815126,0.20168067226890757,93
188,238,60,11,49,0.25210084033613445,0.046218487394957986,0.20588235294117646,94
190,238,63,12,51,0.2647058823529412,0.05042016806722689,0.21428571428571427,95
192,238,63,12,51,0.2647058823529412,0.05042016806722689,0.21428571428571427,96
194,238,64,13,51,0.2689075630252101,0.0546218487394958,0.21428571428571427,97
196,238,65,13,52,0.27310924369747897,0.0546218487394958,0.2184873949579832,98
198,238,67,13,54,0.2815126050420168,0.0546218487394958,0.226890756302521,99
200,238,70,14,56,0.29411764705882354,0.058823529411764705,0.23529411764705882,100
202,238,70,14,56,0.29411764705882354,0.058823529411764705,0.23529411764705882,101
204,238,72,15,57,0.3025210084033613,0.06302521008403361,0.23949579831932774,102
206,238,72,15,57,0.3025210084033613,0.06302521008403361,0.23949579831932774,103
208,238,73,16,57,0.3067226890756303,0.06722689075630252,0.23949579831932774,104
210,238,73,16,57,0.3067226890756303,0.06722689075630252,0.23949579831932774,105
212,238,73,16,57,0.3067226890756303,0.06722689075630252,0.23949579831932774,106
214,238,75,18,57,0.31512605042016806,0.07563025210084033,0.23949579831932774,107
216,238,76,18,58,0.31932773109243695,0.07563025210084033,0.24369747899159663,108
218,238,77,18,59,0.3235294117647059,0.07563025210084033,0.24789915966386555,109
220,238,81,21,60,0.3403361344537815,0.08823529411764706,0.25210084033613445,110
222,238,83,21,62,0.3487394957983193,0.08823529411764706,0.2605042016806723,111
224,238,84,22,62,0.35294117647058826,0.09243697478991597,0.2605042016806723,112
226,238,85,22,63,0.35714285714285715,0.09243697478991597,0.2647058823529412,113
228,238,89,24,65,0.3739495798319328,0.10084033613445378,0.27310924369747897,114
230,238,90,25,65,0.37815126050420167,0.10504201680672269,0.27310924369747897,115
232,238,92,25,67,0.3865546218487395,0.10504201680672269,0.2815126050420168,116
234,238,92,25,67,0.3865546218487395,0.10504201680672269,0.2815126050420168,117
236,238,92,25,67,0.3865546218487395,0.10504201680672269,0.2815126050420168,118
238,238,93,26,67,0.3907563025210084,0.1092436974789916,0.2815126050420168,119
240,238,95,28,67,0.39915966386554624,0.11764705882352941,0.2815126050420168,120
242,238,97,29,68,0.40756302521008403,0.12184873949579832,0.2857142857142857,121
244,238,98,29,69,0.4117647058823529,0.12184873949579832,0.28991596638655465,122
246,238,99,29,70,0.41596638655462187,0.12184873949579832,0.29411764705882354,123
248,238,99,29,70,0.41596638655462187,0.12184873949579832,0.29411764705882354,124
250,238,99,29,70,0.41596638655462187,0.12184873949579832,0.29411764705882354,125
252,238,100,30,70,0.42016806722689076,0.12605042016806722,0.29411764705882354,126
254,238,101,31,70,0.42436974789915966,0.13025210084033614,0.29411764705882354,127
256,238,102,32,70,0.42857142857142855,0.13445378151260504,0.29411764705882354,128
258,238,103,33,70,0.4327731092436975,0.13865546218487396,0.29411764705882354,129
260,238,105,35,70,0.4411764705882353,0.14705882352941177,0.29411764705882354,130
262,238,106,35,71,0.44537815126050423,0.14705882352941177,0.29831932773109243,131
264,238,107,36,71,0.4495798319327731,0.15126050420168066,0.29831932773109243,132
266,238,107,36,71,0.4495798319327731,0.15126050420168066,0.29831932773109243,133
268,238,107,36,71,0.4495798319327731,0.15126050420168066,0.29831932773109243,134
270,238,108,36,72,0.453781512605042,0.15126050420168066,0.3025210084033613,135
272,238,108,36,72,0.453781512605042,0.15126050420168066,0.3025210084033613,136
274,238,110,36,74,0.46218487394957986,0.15126050420168066,0.31092436974789917,137
276,238,110,36,74,0.46218487394957986,0.15126050420168066,0.31092436974789917,138
278,238,112,37,75,0.47058823529411764,0.15546218487394958,0.31512605042016806,139
280,238,112,37,75,0.47058823529411764,0.15546218487394958,0.31512605042016806,140
282,238,112,37,75,0.47058823529411764,0.15546218487394958,0.31512605042016806,141
284,238,113,37,76,0.47478991596638653,0.15546218487394958,0.31932773109243695,142
286,238,113,37,76,0.47478991596638653,0.15546218487394958,0.31932773109243695,143
288,238,114,38,76,0.4789915966386555,0.15966386554621848,0.31932773109243695,144
290,238,116,39,77,0.48739495798319327,0.1638655462184874,0.3235294117647059,145
292,238,117,39,78,0.49159663865546216,0.1638655462184874,0.3277310924369748,146
294,238,118,40,78,0.4957983193277311,0.16806722689075632,0.3277310924369748,147
296,238,119,40,79,0.5,0.16806722689075632,0.3319327731092437,148
298,238,119,40,79,0.5,0.16806722689075632,0.3319327731092437,149
300,238,119,40,79,0.5,0.16806722689075632,0.3319327731092437,150
302,238,120,41,79,0.5042016806722689,0.1722689075630252,0.3319327731092437,151
304,238,121,42,79,0.5084033613445378,0.17647058823529413,0.3319327731092437,152
306,238,123,44,79,0.5168067226890757,0.18487394957983194,0.3319327731092437,153
308,238,124,45,79,0.5210084033613446,0.18907563025210083,0.3319327731092437,154
310,238,124,45,79,0.5210084033613446,0.18907563025210083,0.3319327731092437,155
312,238,126,46,80,0.5294117647058824,0.19327731092436976,0.33613445378151263,156
314,238,127,46,81,0.5336134453781513,0.19327731092436976,0.3403361344537815,157
316,238,127,46,81,0.5336134453781513,0.19327731092436976,0.3403361344537815,158
318,238,127,46,81,0.5336134453781513,0.19327731092436976,0.3403361344537815,159
320,238,127,46,81,0.5336134453781513,0.19327731092436976,0.3403361344537815,160
322,238,129,48,81,0.542016806722689,0.20168067226890757,0.3403361344537815,161
324,238,130,49,81,0.5462184873949579,0.20588235294117646,0.3403361344537815,162
326,238,130,49,81,0.5462184873949579,0.20588235294117646,0.3403361344537815,163
328,238,131,50,81,0.5504201680672269,0.21008403361344538,0.3403361344537815,164
330,238,132,51,81,0.5546218487394958,0.21428571428571427,0.3403361344537815,165
332,238,133,52,81,0.5588235294117647,0.2184873949579832,0.3403361344537815,166
334,238,133,52,81,0.5588235294117647,0.2184873949579832,0.3403361344537815,167
336,238,133,52,81,0.5588235294117647,0.2184873949579832,0.3403361344537815,168
338,238,133,52,81,0.5588235294117647,0.2184873949579832,0.3403361344537815,169
340,238,134,53,81,0.5630252100840336,0.22268907563025211,0.3403361344537815,170
342,238,134,53,81,0.5630252100840336,0.22268907563025211,0.3403361344537815,171
344,238,134,53,81,0.5630252100840336,0.22268907563025211,0.3403361344537815,172
346,238,134,53,81,0.5630252100840336,0.22268907563025211,0.3403361344537815,173
348,238,134,53,81,0.5630252100840336,0.22268907563025211,0.3403361344537815,174
350,238,134,53,81,0.5630252100840336,0.22268907563025211,0.3403361344537815,175
352,238,134,53,81,0.5630252100840336,0.22268907563025211,0.3403361344537815,176
354,238,134,53,81,0.5630252100840336,0.22268907563025211,0.3403361344537815,177
356,238,134,53,81,0.5630252100840336,0.22268907563025211,0.3403361344537815,178
358,238,134,53,81,0.5630252100840336,0.22268907563025211,0.3403361344537815,179
360,238,134,53,81,0.5630252100840336,0.22268907563025211,0.3403361344537815,180
362,238,134,53,81,0.5630252100840336,0.22268907563025211,0.3403361344537815,181
364,238,134,53,81,0.5630252100840336,0.22268907563025211,0.3403361344537815,182
366,238,134,53,81,0.5630252100840336,0.22268907563025211,0.3403361344537815,183
368,238,134,53,81,0.5630252100840336,0.22268907563025211,0.3403361344537815,184
370,238,134,53,81,0.5630252100840336,0.22268907563025211,0.3403361344537815,185
372,238,134,53,81,0.5630252100840336,0.22268907563025211,0.3403361344537815,186
374,238,135,54,81,0.5672268907563025,0.226890756302521,0.3403361344537815,187
376,238,136,55,81,0.5714285714285714,0.23109243697478993,0.3403361344537815,188
378,238,136,55,81,0.5714285714285714,0.23109243697478993,0.3403361344537815,189
380,238,138,57,81,0.5798319327731093,0.23949579831932774,0.3403361344537815,190
382,238,138,57,81,0.5798319327731093,0.23949579831932774,0.3403361344537815,191
384,238,138,57,81,0.5798319327731093,0.23949579831932774,0.3403361344537815,192
386,238,138,57,81,0.5798319327731093,0.23949579831932774,0.3403361344537815,193
388,238,139,58,81,0.5840336134453782,0.24369747899159663,0.3403361344537815,194
390,238,140,59,81,0.5882352941176471,0.24789915966386555,0.3403361344537815,195
392,238,141,59,82,0.592436974789916,0.24789915966386555,0.3445378151260504,196
394,238,141,59,82,0.592436974789916,0.24789915966386555,0.3445378151260504,197
396,238,141,59,82,0.592436974789916,0.24789915966386555,0.3445378151260504,198
398,238,141,59,82,0.592436974789916,0.24789915966386555,0.3445378151260504,199
400,238,141,59,82,0.592436974789916,0.24789915966386555,0.3445378151260504,200
402,238,141,59,82,0.592436974789916,0.24789915966386555,0.3445378151260504,201
404,238,142,60,82,0.5966386554621849,0.25210084033613445,0.3445378151260504,202
406,238,142,60,82,0.5966386554621849,0.25210084033613445,0.3445378151260504,203
408,238,142,60,82,0.5966386554621849,0.25210084033613445,0.3445378151260504,204
410,238,143,61,82,0.6008403361344538,0.25630252100840334,0.3445378151260504,205
412,238,143,61,82,0.6008403361344538,0.25630252100840334,0.3445378151260504,206
414,238,143,61,82,0.6008403361344538,0.25630252100840334,0.3445378151260504,207
416,238,143,61,82,0.6008403361344538,0.25630252100840334,0.3445378151260504,208
418,238,143,61,82,0.6008403361344538,0.25630252100840334,0.3445378151260504,209
420,238,143,61,82,0.6008403361344538,0.25630252100840334,0.3445378151260504,210
422,238,143,61,82,0.6008403361344538,0.25630252100840334,0.3445378151260504,211
424,238,143,61,82,0.6008403361344538,0.25630252100840334,0.3445378151260504,212
426,238,144,61,83,0.6050420168067226,0.25630252100840334,0.3487394957983193,213
428,238,145,62,83,0.6092436974789915,0.2605042016806723,0.3487394957983193,214
