CellID,Subtype,StartFrame,EndFrame,StartTimeSec,EndTimeSec,DurationSec,CompletionStatus,MeanChangeScore,MaxChangeScore,MeanSubtypeDelta,MeanShapeDelta,MeanTextureDelta,MeanHistDelta,StableFramesRequired,ChangeThreshold,MinDurationSec,EndpointSubtypeProb
1.0,final_sickled,251,261.0,62.75,65.25,2.5,completed,0.059461846075353555,0.31107039061876446,0.09125409026940663,0.04436044561831901,0.011767041756926725,0.007305908203125,6,0.03,0,0.8857062458992004
2.0,semi_sickled,476,,119.0,,,not_completed,0.017277681804560602,0.023010290997962538,0.02653283377488454,,0.0027619567311679325,0.0021769205729166665,6,0.03,0,0.7420699596405029
3.0,semi_sickled,279,302.0,69.75,75.5,5.75,completed,0.024135616897131385,0.07920764068840072,0.03976451525730746,0.020179815710954636,0.005234747759199568,0.004100254603794643,6,0.03,0,0.782967209815979
4.0,final_sickled,242,251.0,60.5,62.75,2.25,completed,0.02236837907174569,0.04123762748204172,0.04099774679967335,0.013850913599266537,0.004084512583046619,0.004887172154017857,6,0.03,0,0.6342754364013672
5.0,final_sickled,458,,114.5,,,not_completed,0.023475196828353334,0.04520918875932694,0.04294431990101224,0.01495074354101061,0.004915141592001808,0.0036025274367559525,6,0.03,0,0.5130906105041504
8.0,final_sickled,330,336.0,82.5,84.0,1.5,completed,0.026339822181645402,0.07611876404262147,0.02712989733977751,0.045413858257234097,0.0044495589734817095,0.004663640802556818,6,0.03,0,0.80809485912323
10.0,final_sickled,199,203.0,49.75,50.75,1.0,completed,0.01481722258839808,0.036953128216555345,0.02242998116546207,0.014345993753522635,0.0027512344661065275,0.003841824001736111,6,0.03,0,0.6517475843429565
11.0,semi_sickled,196,197.0,49.0,49.25,0.25,completed,0.014826690828582893,0.027605804236372936,0.020425571749607723,0.015517101914156228,0.006207823714551826,0.0035959879557291665,6,0.03,0,0.6529345512390137
16.0,final_sickled,196,197.0,49.0,49.25,0.25,completed,0.010802381851923809,0.023884677595924587,0.019492023003598053,0.006034520726340513,0.0034756412690815828,0.0036722819010416665,6,0.03,0,0.9489099383354187
19.0,semi_sickled,296,297.0,74.0,74.25,0.25,completed,0.012363882069863998,0.022421288723126053,0.02084649975101153,0.008728479452353591,0.003917300045335044,0.00384521484375,6,0.03,0,0.6824815273284912
20.0,semi_sickled,227,239.0,56.75,59.75,3.0,completed,0.023045459831037615,0.07775990865193308,0.042642742614535725,0.013383971217348623,0.006083925566225148,0.004347857306985294,6,0.03,0,0.5276163816452026
21.0,final_sickled,199,200.0,49.75,50.0,0.25,completed,0.011041072358299667,0.01735475128516555,0.016201453283429146,0.010024825887133678,0.005042223492637277,0.0033721923828125,6,0.03,0,0.8573136329650879
22.0,final_sickled,389,390.0,97.25,97.5,0.25,completed,0.008819961489886433,0.01833054721937515,0.012951002766688665,0.007476237733499147,0.004190300940535963,0.003992716471354167,6,0.03,0,0.5200842022895813
24.0,final_sickled,253,265.0,63.25,66.25,3.0,completed,0.034770059979500195,0.30403771507553756,0.06510062121293124,0.021592147045714015,0.005585529629195876,0.0037949505974264708,6,0.03,0,0.6873337030410767
26.0,semi_sickled,367,368.0,91.75,92.0,0.25,completed,0.012013270049646961,0.026212504890281707,0.01755637799700101,0.011832812277134508,0.0032284060531916716,0.0035654703776041665,6,0.03,0,0.7805509567260742
29.0,semi_sickled,339,340.0,84.75,85.0,0.25,completed,0.010655122441918746,0.019067162132705564,0.01724695786833763,0.007456300266009445,0.005276996137884756,0.0038960774739583335,6,0.03,0,0.7024298310279846
32.0,semi_sickled,247,248.0,61.75,62.0,0.25,completed,0.01715664201959347,0.02839682411286049,0.03277344753344854,0.008223675928699473,0.005781254808728893,0.003570556640625,6,0.03,0,0.6098603010177612
37.0,final_sickled,339,340.0,84.75,85.0,0.25,completed,0.01501586982558365,0.02505831766175106,0.01882486293713252,0.01795233522716444,0.004997445483847211,0.0046234130859375,6,0.03,0,0.669961154460907
38.0,final_sickled,180,181.0,45.0,45.25,0.25,completed,0.004989308067663918,0.00889932606369257,0.00688902319719394,0.0037314938541205636,0.0038610234041698277,0.0035603841145833335,6,0.03,0,0.9585214853286743
39.0,semi_sickled,271,272.0,67.75,68.0,0.25,completed,0.006553412712841797,0.013275836361572146,0.016347747296094894,,0.003920063434634358,0.0038045247395833335,6,0.03,0,0.8089441061019897
40.0,semi_sickled,467,473.0,116.75,118.25,1.5,completed,0.02113322549531321,0.04778114622458816,0.039681765166195954,0.01174666010774672,0.005081957057965073,0.004111550071022727,6,0.03,0,0.7118698954582214
