Time_sec,Semi_sickled_fraction_percent,Final_sickled_fraction_percent,Total_sickled_fraction_percent
0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.5,0.0,0.0,0.0
0.75,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0
1.5,0.0,0.0,0.0
1.75,0.0,0.0,0.0
2.0,0.0,0.0,0.0
2.25,0.0,0.0,0.0
2.5,0.0,0.0,0.0
2.75,0.0,0.0,0.0
3.0,0.0,0.0,0.0
3.25,0.0,0.0,0.0
3.5,0.0,0.0,0.0
3.75,0.0,0.0,0.0
4.0,0.0,0.0,0.0
4.25,0.0,0.0,0.0
4.5,0.0,0.0,0.0
4.75,0.0,0.0,0.0
5.0,0.0,0.0,0.0
5.25,0.0,0.0,0.0
5.5,0.0,0.0,0.0
5.75,0.0,0.0,0.0
6.0,0.0,0.0,0.0
6.25,0.0,0.0,0.0
6.5,0.0,0.0,0.0
6.75,0.0,0.0,0.0
7.0,0.39370078740157477,0.39370078740157477,0.7874015748031495
7.25,0.39370078740157477,0.39370078740157477,0.7874015748031495
7.5,0.39370078740157477,0.39370078740157477,0.7874015748031495
7.75,0.39370078740157477,0.39370078740157477,0.7874015748031495
8.0,0.39370078740157477,0.39370078740157477,0.7874015748031495
8.25,0.39370078740157477,0.39370078740157477,0.7874015748031495
8.5,0.39370078740157477,0.39370078740157477,0.7874015748031495
8.75,0.39370078740157477,0.39370078740157477,0.7874015748031495
9.0,0.39370078740157477,0.39370078740157477,0.7874015748031495
9.25,0.39370078740157477,0.39370078740157477,0.7874015748031495
9.5,0.39370078740157477,0.39370078740157477,0.7874015748031495
9.75,0.39370078740157477,0.39370078740157477,0.7874015748031495
10.0,0.39370078740157477,0.39370078740157477,0.7874015748031495
10.25,0.39370078740157477,0.39370078740157477,0.7874015748031495
10.5,0.39370078740157477,0.39370078740157477,0.7874015748031495
10.75,0.39370078740157477,0.39370078740157477,0.7874015748031495
11.0,0.39370078740157477,0.39370078740157477,0.7874015748031495
11.25,0.39370078740157477,0.39370078740157477,0.7874015748031495
11.5,0.39370078740157477,0.39370078740157477,0.7874015748031495
11.75,0.39370078740157477,0.39370078740157477,0.7874015748031495
12.0,0.39370078740157477,0.39370078740157477,0.7874015748031495
12.25,0.39370078740157477,0.39370078740157477,0.7874015748031495
12.5,0.39370078740157477,0.39370078740157477,0.7874015748031495
12.75,0.39370078740157477,0.39370078740157477,0.7874015748031495
13.0,0.39370078740157477,0.39370078740157477,0.7874015748031495
13.25,0.39370078740157477,0.39370078740157477,0.7874015748031495
13.5,0.39370078740157477,0.39370078740157477,0.7874015748031495
13.75,0.39370078740157477,0.39370078740157477,0.7874015748031495
14.0,0.39370078740157477,0.39370078740157477,0.7874015748031495
14.25,0.39370078740157477,0.39370078740157477,0.7874015748031495
14.5,0.39370078740157477,0.39370078740157477,0.7874015748031495
14.75,0.39370078740157477,0.39370078740157477,0.7874015748031495
15.0,0.39370078740157477,0.39370078740157477,0.7874015748031495
15.25,0.39370078740157477,0.39370078740157477,0.7874015748031495
15.5,0.39370078740157477,0.39370078740157477,0.7874015748031495
15.75,0.39370078740157477,0.39370078740157477,0.7874015748031495
16.0,0.39370078740157477,0.39370078740157477,0.7874015748031495
16.25,0.39370078740157477,0.39370078740157477,0.7874015748031495
16.5,0.39370078740157477,0.39370078740157477,0.7874015748031495
16.75,0.39370078740157477,0.39370078740157477,0.7874015748031495
17.0,0.39370078740157477,0.39370078740157477,0.7874015748031495
17.25,0.39370078740157477,0.39370078740157477,0.7874015748031495
17.5,0.39370078740157477,0.39370078740157477,0.7874015748031495
17.75,0.39370078740157477,0.39370078740157477,0.7874015748031495
18.0,0.39370078740157477,0.39370078740157477,0.7874015748031495
18.25,0.39370078740157477,0.39370078740157477,0.7874015748031495
18.5,0.39370078740157477,0.39370078740157477,0.7874015748031495
18.75,0.39370078740157477,0.39370078740157477,0.7874015748031495
19.0,0.39370078740157477,0.39370078740157477,0.7874015748031495
19.25,0.39370078740157477,0.39370078740157477,0.7874015748031495
19.5,0.39370078740157477,0.39370078740157477,0.7874015748031495
19.75,0.39370078740157477,0.39370078740157477,0.7874015748031495
20.0,0.39370078740157477,0.39370078740157477,0.7874015748031495
20.25,0.39370078740157477,0.39370078740157477,0.7874015748031495
20.5,0.39370078740157477,0.39370078740157477,0.7874015748031495
20.75,0.39370078740157477,0.39370078740157477,0.7874015748031495
21.0,0.39370078740157477,0.39370078740157477,0.7874015748031495
21.25,0.39370078740157477,0.39370078740157477,0.7874015748031495
21.5,0.39370078740157477,0.39370078740157477,0.7874015748031495
21.75,0.39370078740157477,0.39370078740157477,0.7874015748031495
22.0,0.39370078740157477,0.39370078740157477,0.7874015748031495
22.25,0.39370078740157477,0.39370078740157477,0.7874015748031495
22.5,0.39370078740157477,0.39370078740157477,0.7874015748031495
22.75,0.39370078740157477,0.39370078740157477,0.7874015748031495
23.0,0.39370078740157477,0.39370078740157477,0.7874015748031495
23.25,0.39370078740157477,0.39370078740157477,0.7874015748031495
23.5,0.39370078740157477,0.39370078740157477,0.7874015748031495
23.75,0.39370078740157477,0.39370078740157477,0.7874015748031495
24.0,0.39370078740157477,0.39370078740157477,0.7874015748031495
24.25,0.7874015748031495,0.39370078740157477,1.1811023622047243
24.5,0.7874015748031495,0.39370078740157477,1.1811023622047243
24.75,0.7874015748031495,0.39370078740157477,1.1811023622047243
25.0,0.7874015748031495,0.39370078740157477,1.1811023622047243
25.25,0.7874015748031495,0.7874015748031495,1.574803149606299
25.5,0.7874015748031495,1.1811023622047243,1.968503937007874
25.75,0.7874015748031495,1.1811023622047243,1.968503937007874
26.0,0.7874015748031495,1.574803149606299,2.3622047244094486
26.25,0.7874015748031495,1.574803149606299,2.3622047244094486
26.5,0.7874015748031495,1.574803149606299,2.3622047244094486
26.75,0.7874015748031495,1.574803149606299,2.3622047244094486
27.0,0.7874015748031495,1.574803149606299,2.3622047244094486
27.25,0.7874015748031495,1.574803149606299,2.3622047244094486
27.5,0.7874015748031495,1.574803149606299,2.3622047244094486
27.75,0.7874015748031495,1.574803149606299,2.3622047244094486
28.0,0.7874015748031495,1.574803149606299,2.3622047244094486
28.25,0.7874015748031495,1.574803149606299,2.3622047244094486
28.5,0.7874015748031495,1.574803149606299,2.3622047244094486
28.75,0.7874015748031495,1.574803149606299,2.3622047244094486
29.0,0.7874015748031495,1.574803149606299,2.3622047244094486
29.25,0.7874015748031495,1.574803149606299,2.3622047244094486
29.5,0.7874015748031495,1.574803149606299,2.3622047244094486
29.75,0.7874015748031495,1.968503937007874,2.7559055118110236
30.0,0.7874015748031495,1.968503937007874,2.7559055118110236
30.25,0.7874015748031495,1.968503937007874,2.7559055118110236
30.5,0.7874015748031495,2.3622047244094486,3.149606299212598
30.75,0.7874015748031495,2.7559055118110236,3.543307086614173
31.0,0.7874015748031495,2.7559055118110236,3.543307086614173
31.25,0.7874015748031495,2.7559055118110236,3.543307086614173
31.5,0.7874015748031495,2.7559055118110236,3.543307086614173
31.75,0.7874015748031495,2.7559055118110236,3.543307086614173
32.0,0.7874015748031495,2.7559055118110236,3.543307086614173
32.25,0.7874015748031495,2.7559055118110236,3.543307086614173
32.5,0.7874015748031495,2.7559055118110236,3.543307086614173
32.75,0.7874015748031495,3.149606299212598,3.937007874015748
33.0,0.7874015748031495,3.149606299212598,3.937007874015748
33.25,0.7874015748031495,3.149606299212598,3.937007874015748
33.5,0.7874015748031495,3.149606299212598,3.937007874015748
33.75,0.7874015748031495,3.149606299212598,3.937007874015748
34.0,0.7874015748031495,3.149606299212598,3.937007874015748
34.25,0.7874015748031495,3.149606299212598,3.937007874015748
34.5,0.7874015748031495,3.149606299212598,3.937007874015748
34.75,0.7874015748031495,3.543307086614173,4.330708661417323
35.0,0.7874015748031495,3.543307086614173,4.330708661417323
35.25,0.7874015748031495,3.543307086614173,4.330708661417323
35.5,0.7874015748031495,3.543307086614173,4.330708661417323
