Video,CellID,Subtype,PrevFrame,Frame,TimeSec,CombinedScore,ProbabilityScore,ShapeScore,TextureIntensityScore,RawTextureDelta,HistogramDelta,CombinedStable,ProbabilityStable,ShapeStable,TextureIntensityStable,ChangeThreshold
V2,1.0,final_sickled,251,252,63.0,0.01087563856272027,0.0079655721783638,0.017703479155898094,0.005972767947241664,0.007184793706983328,0.0047607421875,True,True,True,True,0.03
V2,1.0,final_sickled,252,253,63.25,0.02163895284757018,0.034478381276130676,0.019702615216374397,0.0038067400455474854,0.0034325718879699707,0.004180908203125,True,False,True,True,0.03
V2,1.0,final_sickled,253,254,63.5,0.03208419299917296,0.04756969213485718,0.03295924887061119,0.0060823161620646715,0.007220784667879343,0.00494384765625,False,False,False,True,0.03
V2,1.0,final_sickled,254,255,63.75,0.1977212868630886,0.30529651045799255,0.1933155059814453,0.03176902234554291,0.044128865003585815,0.0194091796875,False,False,False,False,0.03
V2,1.0,final_sickled,255,256,64.0,0.08422027109190822,0.12078796327114105,0.07075973600149155,0.04455671273171902,0.057008933275938034,0.0321044921875,False,False,False,False,0.03
V2,1.0,final_sickled,256,257,64.25,0.03077781544281886,0.04880659282207489,,0.0019317716360092163,0.0012390315532684326,0.00262451171875,False,False,,True,0.03
V2,1.0,final_sickled,257,258,64.5,0.007658927486493037,0.009898021817207336,,0.004076376557350159,0.004063397645950317,0.00408935546875,True,True,,True,0.03
V2,1.0,final_sickled,258,259,64.75,0.31107039061876446,0.4930487871170044,,0.019904956221580505,0.02445957064628601,0.015350341796875,False,False,,True,0.03
V2,1.0,final_sickled,259,260,65.0,0.09217560765100644,0.11071794480085373,0.13415689766407013,0.0037340621929615736,0.004507919307798147,0.002960205078125,False,False,False,True,0.03
V2,1.0,final_sickled,260,261,65.25,0.0157143289456144,0.01265476644039154,0.025855347514152527,0.006412202958017588,0.008185734041035175,0.004638671875,True,True,True,True,0.03
V2,1.0,final_sickled,261,262,65.5,0.023858607433794532,0.04536247253417969,0.015337340533733368,0.0013821969332639128,0.0006281633977778256,0.00213623046875,True,False,True,True,0.03
V2,1.0,final_sickled,262,263,65.75,0.026275894581340255,0.061911240220069885,0.0012719412334263325,0.0042648762464523315,0.004684537649154663,0.00384521484375,True,False,True,True,0.03
V2,1.0,final_sickled,263,264,66.0,0.005280831851996482,0.006739571690559387,0.005217019002884626,0.003036186099052429,0.0036614835262298584,0.002410888671875,True,True,True,True,0.03
V2,1.0,final_sickled,264,265,66.25,0.006219012054498307,0.010238543152809143,0.004775433335453272,0.0018087725038640201,0.0012371739139780402,0.00238037109375,True,True,True,True,0.03
V2,1.0,final_sickled,265,266,66.5,0.026355932699516416,0.053335294127464294,0.01127078291028738,0.004308164119720459,0.004862666130065918,0.003753662109375,True,False,True,True,0.03
V2,2.0,semi_sickled,476,477,119.25,0.013292509386351762,0.020563706755638123,,0.0016585935954935849,0.0013640621909871697,0.001953125,True,True,,True,0.03
V2,2.0,semi_sickled,477,478,119.5,0.015530245029367508,0.02380003035068512,,0.0022985885152593255,0.002430428983643651,0.002166748046875,True,True,,True,0.03
V2,2.0,semi_sickled,478,479,119.75,0.023010290997962538,0.03523476421833038,,0.003451133845373988,0.004491379018872976,0.002410888671875,True,False,,True,0.03
V2,3.0,semi_sickled,279,280,70.0,0.015109307959210127,0.014433324337005615,0.023715101182460785,0.004142771242186427,0.005661030765622854,0.00262451171875,True,True,True,True,0.03
V2,3.0,semi_sickled,280,281,70.25,0.019582443416584282,0.023074015974998474,0.026516586542129517,0.004288126947358251,0.004639486316591501,0.003936767578125,True,True,True,True,0.03
V2,3.0,semi_sickled,281,282,70.5,0.01884410479106009,0.03345225006341934,0.012515845708549023,0.004330635070800781,0.0057926177978515625,0.00286865234375,True,False,True,True,0.03
V2,3.0,semi_sickled,282,283,70.75,0.009025966795161367,0.016466155648231506,0.0036924208980053663,0.004588628886267543,0.006033947225660086,0.003143310546875,True,True,True,True,0.03
V2,3.0,semi_sickled,283,284,71.0,0.03412782530067489,0.06194532662630081,0.023134509101510048,0.005010465858504176,0.004253109451383352,0.005767822265625,False,False,True,True,0.03
V2,3.0,semi_sickled,284,285,71.25,0.023598821449559184,0.04028892517089844,0.018387919291853905,0.004189918516203761,0.003954788204282522,0.004425048828125,True,False,True,True,0.03
V2,3.0,semi_sickled,285,286,71.5,0.0049296295124804605,0.007110007107257843,0.003853775328025222,0.002947221219073981,0.001927157281897962,0.00396728515625,True,True,True,True,0.03
V2,3.0,semi_sickled,286,287,71.75,0.01685611653374508,0.013344913721084595,0.027765437960624695,0.007200991036370397,0.007016728166490793,0.00738525390625,True,True,True,True,0.03
