FrameIndex,Frame,TotalCells,SickledCells,SemiSickledCells,FinalSickledCells,SickledFraction,SemiFraction,FinalFraction
0,0,254,0,0,0,0.0,0.0,0.0
1,1,254,0,0,0,0.0,0.0,0.0
2,2,254,0,0,0,0.0,0.0,0.0
3,3,254,0,0,0,0.0,0.0,0.0
4,4,254,0,0,0,0.0,0.0,0.0
5,5,254,0,0,0,0.0,0.0,0.0
6,6,254,0,0,0,0.0,0.0,0.0
7,7,254,0,0,0,0.0,0.0,0.0
8,8,254,0,0,0,0.0,0.0,0.0
9,9,254,0,0,0,0.0,0.0,0.0
10,10,254,0,0,0,0.0,0.0,0.0
11,11,254,0,0,0,0.0,0.0,0.0
12,12,254,0,0,0,0.0,0.0,0.0
13,13,254,0,0,0,0.0,0.0,0.0
14,14,254,0,0,0,0.0,0.0,0.0
15,15,254,0,0,0,0.0,0.0,0.0
16,16,254,0,0,0,0.0,0.0,0.0
17,17,254,0,0,0,0.0,0.0,0.0
18,18,254,0,0,0,0.0,0.0,0.0
19,19,254,0,0,0,0.0,0.0,0.0
20,20,254,0,0,0,0.0,0.0,0.0
21,21,254,0,0,0,0.0,0.0,0.0
22,22,254,0,0,0,0.0,0.0,0.0
23,23,254,0,0,0,0.0,0.0,0.0
24,24,254,0,0,0,0.0,0.0,0.0
25,25,254,0,0,0,0.0,0.0,0.0
26,26,254,0,0,0,0.0,0.0,0.0
27,27,254,0,0,0,0.0,0.0,0.0
28,28,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
29,29,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
30,30,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
31,31,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
32,32,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
33,33,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
34,34,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
35,35,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
36,36,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
37,37,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
38,38,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
39,39,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
40,40,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
41,41,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
42,42,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
43,43,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
44,44,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
45,45,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
46,46,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
47,47,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
48,48,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
49,49,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
50,50,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
51,51,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
52,52,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
53,53,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
54,54,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
55,55,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
56,56,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
57,57,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
58,58,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
59,59,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
60,60,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
61,61,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
62,62,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
63,63,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
64,64,254,2,1,1,0.007874015748031496,0.003937007874015748,0.003937007874015748
