Video,CellID,Subtype,StartFrame,EndFrame,StartTimeSec,EndTimeSec,DurationSec,CompletionStatus,MeanChangeScore,MaxChangeScore,MeanSubtypeDelta,MeanShapeDelta,MeanTextureDelta,MeanHistDelta,StableFramesRequired,ChangeThreshold,ScoreMode,MinDurationSec,EndpointSubtypeProb
V1,2.0,semi_sickled,376,397.0,94.0,99.25,5.25,completed,0.02196517045667861,0.05251397296087817,0.04217089426058989,0.010883449026061079,0.006298347000175944,0.004002497746394231,6,0.05,probability,0,0.8383928537368774
V1,4.0,final_sickled,174,175.0,43.5,43.75,0.25,completed,0.011337755160639063,0.017232634651008993,0.016070704131076734,0.010842540922264257,0.005315599264577031,0.00360107421875,6,0.05,probability,0,0.9718335270881653
V1,5.0,semi_sickled,151,152.0,37.75,38.0,0.25,completed,0.008720934637434159,0.01375345087144524,0.011601480344931284,0.00763294764328748,0.005461974224696557,0.005808512369791667,6,0.05,probability,0,0.6817356944084167
V1,6.0,semi_sickled,109,125.0,27.25,31.25,4.0,completed,0.02969958765593002,0.09697953574359416,0.046028622559138706,0.028243454794089,0.006395845418973338,0.00482759021577381,6,0.05,probability,0,0.7304282784461975
V1,7.0,semi_sickled,473,474.0,118.25,118.5,0.25,completed,0.012804043671050562,0.023442369240980882,0.015751993594070274,,0.005539271611875544,0.0106353759765625,6,0.05,probability,0,0.9418861269950867
V1,9.0,semi_sickled,236,237.0,59.0,59.25,0.25,completed,0.012907119179241514,0.025369866937398913,0.020016676435867947,0.011314767917307714,0.0031277074206930897,0.00439453125,6,0.05,probability,0,0.640991747379303
V1,11.0,semi_sickled,228,241.0,57.0,60.25,3.25,completed,0.02013142172654625,0.039884108892874796,0.036984283890989095,0.0115984446537267,0.006338419961846537,0.003887600368923611,6,0.05,probability,0,0.5067051649093628
V1,12.0,final_sickled,213,221.0,53.25,55.25,2.0,completed,0.018080416512272605,0.0607114490121603,0.031009199527593758,0.012472850422804745,0.005416951939248695,0.005072960486778846,6,0.05,probability,0,0.9001150131225586
V1,13.0,semi_sickled,370,388.0,92.5,97.0,4.5,completed,0.021696148914128098,0.05184429213404656,0.03668433298235354,0.016936627925252138,0.004627606573352671,0.004129161005434783,6,0.05,probability,0,0.7255265116691589
V1,14.0,semi_sickled,323,324.0,80.75,81.0,0.25,completed,0.011198974083041928,0.014874262502416968,0.01550571620464325,0.011623094983709356,0.0030851662352991602,0.004343668619791667,6,0.05,probability,0,0.6643306016921997
V1,15.0,final_sickled,55,56.0,13.75,14.0,0.25,completed,0.018052161044518775,0.02583514768630266,0.023632458100716274,0.02006215349926303,0.0075890785083174706,0.005030314127604167,6,0.05,probability,0,0.8663363456726074
V1,19.0,semi_sickled,320,361.0,80.0,90.25,10.25,completed,0.021521696718517214,0.06737938701407983,0.037615160579266754,0.015619750144769963,0.004375142259168965,0.003694617229959239,6,0.05,probability,0,0.6512542366981506
V1,21.0,final_sickled,193,197.0,48.25,49.25,1.0,completed,0.018085085993740133,0.05859746075629328,0.02737392485141754,0.005977574735879898,0.002452586557612651,0.003760443793402778,6,0.05,probability,0,0.5768303275108337
V1,23.0,final_sickled,103,104.0,25.75,26.0,0.25,completed,0.009464441195693021,0.01684007146395743,0.016346776237090428,0.005886660219402984,0.0038358353388806186,0.0030873616536458335,6,0.05,probability,0,0.8515459895133972
V1,25.0,semi_sickled,188,241.0,47.0,60.25,13.25,completed,0.025179487048519838,0.06493706665933133,0.04911743387066085,0.012631427296959185,0.005123190672120786,0.0037689208984375,6,0.05,probability,0,0.5270358920097351
V1,27.0,final_sickled,284,285.0,71.0,71.25,0.25,completed,0.010451715416274966,0.0182775168097578,0.016396983216206234,0.007078117108903825,0.006243472375596563,0.0050811767578125,6,0.05,probability,0,0.9332660436630249
V1,28.0,final_sickled,155,157.0,38.75,39.25,0.5,completed,0.01458768036100082,0.027884728007484226,0.019348553248814175,0.014664523370031799,0.0064186269217836,0.007306780133928571,6,0.05,probability,0,0.6946551203727722
V1,30.0,final_sickled,478,,119.5,,,not_completed,0.01788091730559245,0.01788091730559245,0.03771746903657913,0.004852915648370981,0.00540634011849761,0.00335693359375,6,0.05,probability,0,0.8505121469497681
V1,31.0,final_sickled,215,216.0,53.75,54.0,0.25,completed,0.010009618075855542,0.013877268374199048,0.01791984774172306,0.0043482298497110605,0.004632891834868739,0.005925496419270833,6,0.05,probability,0,0.6622825860977173
V1,33.0,semi_sickled,234,240.0,58.5,60.0,1.5,completed,0.023307094696528193,0.0681185276247561,0.041414396329359573,0.015637531537901272,0.006142249627208168,0.004003351384943182,6,0.05,probability,0,0.5951128602027893
V1,34.0,final_sickled,177,181.0,44.25,45.25,1.0,completed,0.016700466521433557,0.02721046672668308,0.026870489948325686,0.012543529582520327,0.0067250683981304364,0.005771213107638889,6,0.05,probability,0,0.8477322459220886
V1,35.0,final_sickled,143,144.0,35.75,36.0,0.25,completed,0.008360953033358478,0.014257698226720093,0.007531644466022651,0.010468608738544086,0.007757297872255246,0.005716959635416667,6,0.05,probability,0,0.9140472412109375
V1,36.0,final_sickled,266,267.0,66.5,66.75,0.25,completed,0.009088630619226023,0.013148650247603654,0.011143241077661514,0.009609542709464828,0.0049305343224356575,0.005213419596354167,6,0.05,probability,0,0.7566503286361694
V1,37.0,final_sickled,138,139.0,34.5,34.75,0.25,completed,0.016686547803692522,0.025957704323809595,0.0272175216426452,0.013164109084755182,0.00496425728003184,0.004572550455729167,6,0.05,probability,0,0.806889533996582
V1,38.0,semi_sickled,370,381.0,92.5,95.25,2.75,completed,0.021321629935118838,0.05510270668892191,0.04105309024453163,0.011204552145500202,0.004112982205697335,0.0037174224853515625,6,0.05,probability,0,0.8561767339706421
V1,39.0,final_sickled,149,153.0,37.25,38.25,1.0,completed,0.017408045155169676,0.03593895547674038,0.029633711609575484,0.013143185494900381,0.0037869590192308854,0.003848605685763889,6,0.05,probability,0,0.6597968339920044
V1,41.0,semi_sickled,285,329.0,71.25,82.25,11.0,completed,0.0247779342565657,0.059820210468024014,0.04552798672598236,0.015533039863672753,0.005467734231889172,0.003573670679209184,6,0.05,probability,0,0.8666437864303589
V1,42.0,final_sickled,237,248.0,59.25,62.0,2.75,completed,0.013312558154393628,0.029846066428581255,0.024833665695041418,0.007078006168740103,0.003803978383075446,0.00341033935546875,6,0.05,probability,0,0.5483647584915161
V1,44.0,final_sickled,190,191.0,47.5,47.75,0.25,completed,0.013443470687343508,0.018695053760893643,0.012677752102414766,0.018753679367364384,0.009850329719483852,0.004618326822916667,6,0.05,probability,0,0.8340429067611694
V1,45.0,final_sickled,287,288.0,71.75,72.0,0.25,completed,0.010694266534604443,0.015169541200157255,0.011165793985128403,0.014688360000339648,0.00436268742972364,0.00433349609375,6,0.05,probability,0,0.7053924798965454
V1,48.0,semi_sickled,183,184.0,45.75,46.0,0.25,completed,0.014853895505560407,0.020451033225981522,0.02220892161130905,0.013908206019550562,0.0039368255335527165,0.0048828125,6,0.05,probability,0,0.7557913661003113
V1,51.0,final_sickled,94,95.0,23.5,23.75,0.25,completed,0.01494671457427709,0.02250318699516356,0.020901633736987908,0.015530219359789044,0.0054349535300085945,0.0037689208984375,6,0.05,probability,0,0.9559585452079773
V1,52.0,final_sickled,199,205.0,49.75,51.25,1.5,completed,0.023245456572410395,0.1384371556341648,0.029788664118810135,0.02872454502027143,0.005228513132103465,0.004982688210227273,6,0.05,probability,0,0.6990560293197632
V1,53.0,final_sickled,100,101.0,25.0,25.25,0.25,completed,0.005371965790012231,0.009921986039262264,0.007240209107597669,0.004973689443431795,0.003698719898238778,0.0021820068359375,6,0.05,probability,0,0.9170433282852173
V1,54.0,semi_sickled,306,309.0,76.5,77.25,0.75,completed,0.014409852410608437,0.02867240256164223,0.023998375982046127,0.00955133800744079,0.007433476508595049,0.004306793212890625,6,0.05,probability,0,0.5780118107795715
V1,55.0,semi_sickled,225,227.0,56.25,56.75,0.5,completed,0.016499241553745898,0.029678968526422978,0.02494012032236372,0.014850484057595688,0.006174783554992506,0.004429408482142857,6,0.05,probability,0,0.7992895245552063
V1,57.0,final_sickled,104,105.0,26.0,26.25,0.25,completed,0.006807065020014609,0.013821360375732183,0.004159320145845413,0.011885688353989584,0.004296211661615719,0.003570556640625,6,0.05,probability,0,0.9695640802383423
