Frame,Class_0,Class_0_total,Class_0_pos,Class_1,Class_1_total,Class_1_pos,Class_2,Class_2_total,Class_2_pos,Class_3,Class_3_total,Class_3_pos,Class_4,Class_4_total,Class_4_pos,Class_5,Class_5_total,Class_5_pos,FrameIndex
0,0.0,112,112,0.0,91,91,0.0,25,25,0.0,1,1,0.0,6,6,0.0,19,19,0
2,0.0,112,112,0.0,91,91,0.0,25,25,0.0,1,1,0.0,6,6,0.0,19,19,1
4,0.0,112,112,0.0,91,91,0.0,25,25,0.0,1,1,0.0,6,6,0.0,19,19,2
6,0.0,112,112,0.0,91,91,0.0,25,25,0.0,1,1,0.0,6,6,0.0,19,19,3
8,0.0,112,112,0.0,91,91,0.0,25,25,0.0,1,1,0.0,6,6,0.0,19,19,4
10,0.0,112,112,0.0,91,91,0.0,25,25,0.0,1,1,0.0,6,6,0.0,19,19,5
12,0.0,112,112,0.0,91,91,0.0,25,25,0.0,1,1,0.0,6,6,0.0,19,19,6
14,0.0089,112,111,0.0,91,91,0.0,25,25,0.0,1,1,0.0,6,6,0.0,19,19,7
16,0.0268,112,109,0.0,91,91,0.0,25,25,0.0,1,1,0.0,6,6,0.0526,19,18,8
18,0.0268,112,109,0.0,91,91,0.0,25,25,0.0,1,1,0.0,6,6,0.0526,19,18,9
20,0.0268,112,109,0.0,91,91,0.0,25,25,0.0,1,1,0.0,6,6,0.0526,19,18,10
22,0.0268,112,109,0.0,91,91,0.0,25,25,0.0,1,1,0.0,6,6,0.0526,19,18,11
24,0.0268,112,109,0.0,91,91,0.0,25,25,0.0,1,1,0.0,6,6,0.0526,19,18,12
26,0.0268,112,109,0.0,91,91,0.0,25,25,0.0,1,1,0.0,6,6,0.0526,19,18,13
28,0.0268,112,109,0.0,91,91,0.0,25,25,0.0,1,1,0.0,6,6,0.0526,19,18,14
30,0.0268,112,109,0.0,91,91,0.0,25,25,0.0,1,1,0.0,6,6,0.0526,19,18,15
32,0.0268,112,109,0.0,91,91,0.0,25,25,0.0,1,1,0.0,6,6,0.0526,19,18,16
34,0.0268,112,109,0.0,91,91,0.0,25,25,0.0,1,1,0.0,6,6,0.0526,19,18,17
