FrameIndex,Frame,Class_0,Class_0_pos,Class_0_total,Class_1,Class_1_pos,Class_1_total,Class_2,Class_2_pos,Class_2_total,Class_3,Class_3_pos,Class_3_total,Class_4,Class_4_pos,Class_4_total,Class_5,Class_5_pos,Class_5_total,Class_6,Class_6_pos,Class_6_total
0,0,0.002564102564102555,389,390,0.0,290,290,0.01526717557251911,129,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
1,2,0.002564102564102555,389,390,0.0,290,290,0.01526717557251911,129,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
2,4,0.002564102564102555,389,390,0.0,290,290,0.01526717557251911,129,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
3,6,0.002564102564102555,389,390,0.0,290,290,0.01526717557251911,129,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
4,8,0.002564102564102555,389,390,0.0,290,290,0.01526717557251911,129,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
5,10,0.002564102564102555,389,390,0.0,290,290,0.01526717557251911,129,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
6,12,0.002564102564102555,389,390,0.0,290,290,0.01526717557251911,129,131,0.0,22,22,0.0,10,10,0.0,28,28,0.0,80,80
7,14,0.00512820512820511,388,390,0.0,290,290,0.01526717557251911,129,131,0.0,22,22,0.0,10,10,0.0357142857142857,27,28,0.012499999999999956,79,80
8,16,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.03749999999999998,77,80
9,18,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.03749999999999998,77,80
10,20,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.03749999999999998,77,80
11,22,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.03749999999999998,77,80
12,24,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.03749999999999998,77,80
13,26,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.03749999999999998,77,80
14,28,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.03749999999999998,77,80
15,30,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.03749999999999998,77,80
16,32,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.03749999999999998,77,80
17,34,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.03749999999999998,77,80
18,36,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.03749999999999998,77,80
19,38,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.03749999999999998,77,80
20,40,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.0625,75,80
21,42,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.0625,75,80
22,44,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.0625,75,80
23,46,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.0625,75,80
24,48,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.0625,75,80
25,50,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.0625,75,80
26,52,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.0625,75,80
27,54,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.0625,75,80
28,56,0.01025641025641022,386,390,0.0034482758620689724,289,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.0625,75,80
29,58,0.01025641025641022,386,390,0.006896551724137945,288,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.07499999999999996,74,80
30,60,0.01025641025641022,386,390,0.006896551724137945,288,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.07499999999999996,74,80
31,62,0.01025641025641022,386,390,0.006896551724137945,288,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.07499999999999996,74,80
32,64,0.01025641025641022,386,390,0.006896551724137945,288,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.07499999999999996,74,80
33,66,0.01025641025641022,386,390,0.006896551724137945,288,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.07499999999999996,74,80
34,68,0.01025641025641022,386,390,0.006896551724137945,288,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.07499999999999996,74,80
35,70,0.01025641025641022,386,390,0.006896551724137945,288,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.07499999999999996,74,80
36,72,0.01025641025641022,386,390,0.006896551724137945,288,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.07499999999999996,74,80
37,74,0.01025641025641022,386,390,0.006896551724137945,288,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.07499999999999996,74,80
38,76,0.01025641025641022,386,390,0.006896551724137945,288,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.07499999999999996,74,80
39,78,0.01025641025641022,386,390,0.006896551724137945,288,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.0,10,10,0.0357142857142857,27,28,0.07499999999999996,74,80
40,80,0.01025641025641022,386,390,0.006896551724137945,288,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.08750000000000002,73,80
41,82,0.012820512820512775,385,390,0.006896551724137945,288,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.32499999999999996,54,80
42,84,0.012820512820512775,385,390,0.006896551724137945,288,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.36250000000000004,51,80
43,86,0.012820512820512775,385,390,0.006896551724137945,288,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.375,50,80
44,88,0.012820512820512775,385,390,0.006896551724137945,288,290,0.022900763358778664,128,131,0.045454545454545414,21,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.38749999999999996,49,80
45,90,0.012820512820512775,385,390,0.006896551724137945,288,290,0.022900763358778664,128,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.38749999999999996,49,80
46,92,0.012820512820512775,385,390,0.006896551724137945,288,290,0.03053435114503822,127,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.38749999999999996,49,80
47,94,0.012820512820512775,385,390,0.006896551724137945,288,290,0.03053435114503822,127,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.38749999999999996,49,80
48,96,0.01538461538461533,384,390,0.006896551724137945,288,290,0.03053435114503822,127,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.4,48,80
49,98,0.017948717948717996,383,390,0.006896551724137945,288,290,0.03053435114503822,127,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.4,48,80
50,100,0.017948717948717996,383,390,0.01379310344827589,286,290,0.03053435114503822,127,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.4,48,80
51,102,0.02051282051282055,382,390,0.01379310344827589,286,290,0.03053435114503822,127,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.4,48,80
52,104,0.02564102564102566,380,390,0.01379310344827589,286,290,0.03816793893129766,126,131,0.09090909090909094,20,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.4125,47,80
53,106,0.03076923076923077,378,390,0.01379310344827589,286,290,0.03816793893129766,126,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.4125,47,80
54,108,0.033333333333333326,377,390,0.017241379310344862,285,290,0.04580152671755722,125,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.4125,47,80
55,110,0.033333333333333326,377,390,0.017241379310344862,285,290,0.04580152671755722,125,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.4375,45,80
56,112,0.038461538461538436,375,390,0.017241379310344862,285,290,0.04580152671755722,125,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.44999999999999996,44,80
57,114,0.038461538461538436,375,390,0.017241379310344862,285,290,0.04580152671755722,125,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.44999999999999996,44,80
58,116,0.0461538461538461,372,390,0.017241379310344862,285,290,0.04580152671755722,125,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.44999999999999996,44,80
59,118,0.0461538461538461,372,390,0.017241379310344862,285,290,0.04580152671755722,125,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.44999999999999996,44,80
60,120,0.0461538461538461,372,390,0.017241379310344862,285,290,0.04580152671755722,125,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.4625,43,80
61,122,0.04871794871794877,371,390,0.017241379310344862,285,290,0.04580152671755722,125,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.475,42,80
62,124,0.05128205128205132,370,390,0.017241379310344862,285,290,0.05343511450381677,124,131,0.13636363636363635,19,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.5125,39,80
63,126,0.05384615384615388,369,390,0.020689655172413834,284,290,0.05343511450381677,124,131,0.18181818181818177,18,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.5125,39,80
64,128,0.05897435897435899,367,390,0.020689655172413834,284,290,0.06106870229007633,123,131,0.18181818181818177,18,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.5125,39,80
65,130,0.05897435897435899,367,390,0.020689655172413834,284,290,0.06106870229007633,123,131,0.18181818181818177,18,22,0.09999999999999998,9,10,0.0357142857142857,27,28,0.5125,39,80
