Frame,Class_0,Class_0_total,Class_0_pos,Class_1,Class_1_total,Class_1_pos,Class_2,Class_2_total,Class_2_pos,Class_3,Class_3_total,Class_3_pos,Class_4,Class_4_total,Class_4_pos,Class_5,Class_5_total,Class_5_pos,Class_6,Class_6_total,Class_6_pos,FrameIndex
0,0.0,76,76,0.0,64,64,0.0,46,46,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,0
2,0.0,76,76,0.0,64,64,0.0,46,46,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,1
4,0.0,76,76,0.0,64,64,0.0,46,46,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,2
6,0.0,76,76,0.0,64,64,0.0,46,46,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,3
8,0.0,76,76,0.0,64,64,0.0,46,46,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,4
10,0.0,76,76,0.0,64,64,0.0,46,46,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,5
12,0.0,76,76,0.0,64,64,0.0,46,46,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,6
14,0.0,76,76,0.0,64,64,0.0,46,46,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,7
16,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,8
18,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,9
20,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,10
22,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,11
24,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,12
26,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,13
28,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,14
30,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,15
32,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,16
34,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,17
36,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,18
38,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,19
40,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,20
42,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,21
44,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,22
46,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,23
48,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,24
50,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,25
52,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,26
54,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,27
56,0.0132,76,75,0.0,64,64,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,28
58,0.0132,76,75,0.0156,64,63,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,29
60,0.0132,76,75,0.0156,64,63,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,30
62,0.0132,76,75,0.0156,64,63,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,31
64,0.0132,76,75,0.0156,64,63,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,32
66,0.0132,76,75,0.0156,64,63,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,33
68,0.0132,76,75,0.0156,64,63,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,34
70,0.0132,76,75,0.0156,64,63,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,35
72,0.0132,76,75,0.0156,64,63,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,36
74,0.0132,76,75,0.0156,64,63,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,37
76,0.0132,76,75,0.0156,64,63,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,38
78,0.0132,76,75,0.0156,64,63,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0,18,18,39
80,0.0132,76,75,0.0156,64,63,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.0556,18,17,40
82,0.0132,76,75,0.0156,64,63,0.0217,46,45,0.0,9,9,0.0,4,4,0.0,6,6,0.3333,18,12,41
